data quality: file,data quality: section,data quality: heading,data quality: count,data quality: percentage
persons_networks_edges,,Source,4048,100.00%
persons_networks_edges,,Target,4048,100.00%
persons_networks_edges,,Type,4048,100.00%
persons_networks_edges,,Label,4048,100.00%
persons_networks_nodes,,ID,9679,100.00%
persons_networks_nodes,,Label,9679,100.00%
persons_networks_nodes,,Type,9679,100.00%
works_networks_edges,,Source,14624,100.00%
works_networks_edges,,Target,14624,100.00%
works_networks_edges,,Type,14624,100.00%
works_networks_edges,,Label,14624,100.00%
works_networks_nodes,,ID,27944,100.00%
works_networks_nodes,,Label,27944,100.00%
works_networks_nodes,,Type,27812,99.53%
