Source,Target,Type,Label
person_100162294,person_19743305,Undirected,MS_Add_B_54
person_100166736,person_52779630,Undirected,MS_Lat_class_c_7
person_100166736,person_316003889,Undirected,MS_Lat_class_c_7
person_100166736,person_43812064,Undirected,MS_Lat_class_c_7
person_100177277,person_39733678,Undirected,MS_Bodl_80
person_100177277,person_3752,Undirected,MS_Bodl_80
person_100177277,person_3753,Undirected,MS_Bodl_80
person_100177277,person_3754,Undirected,MS_Bodl_80
person_100177277,person_3745,Undirected,MS_Bodl_80
person_100177277,person_51728429,Undirected,MS_Arch_Selden_B_50
person_100177277,person_3755,Undirected,MS_Bodl_80
person_100177277,person_3756,Undirected,MS_Bodl_80
person_100177277,person_32345104,Undirected,MS_Bodl_80
person_100177277,person_3024,Undirected,MS_Bodl_646
person_100177277,person_2956,Undirected,MS_Bodl_646
person_100183464,person_95890653,Undirected,MS_Bodl_563-part1
person_100183464,person_1888150518475403650006,Undirected,MS_Bodl_61
person_100187947,person_67932423,Undirected,MS_Bodl_345
person_100187947,person_2919,Undirected,MS_Bodl_345
person_100187947,person_2920,Undirected,MS_Bodl_345
person_100187947,person_49213023,Undirected,MS_Laud_Misc_388
person_100187947,person_54940373,Undirected,MS_Laud_Misc_388
person_100187947,person_51728429,Undirected,MS_Selden_Supra_51
person_100187947,person_2920,Undirected,MS_Auct_E_inf_7
person_100187947,person_2919,Undirected,MS_Auct_E_inf_7
person_100187947,person_67932423,Undirected,MS_Auct_E_inf_7
person_100187947,person_2918,Undirected,MS_Auct_E_inf_7
person_100218411,person_860159248596504870003,Undirected,MS_Savile_13
person_100218411,person_860159248596504870003,Undirected,MS_Savile_3
person_100218411,person_860159248596504870003,Undirected,MS_Savile_5
person_100218411,person_860159248596504870003,Undirected,MS_Savile_4
person_100218411,person_4234,Undirected,Merton_College_MS_304
person_1004,person_1034,Undirected,MS_Lat_th_e_46
person_1004,person_22151132,Undirected,MS_Lat_th_e_46
person_1004,person_291,Undirected,MS_Lat_th_e_46
person_1005,person_485,Undirected,MS_Lat_misc_d_64
person_100577675,person_47563478,Undirected,MS_Rawl_G_140
person_1006,person_47563478,Undirected,MS_Rawl_G_126
person_1008,person_52779630,Undirected,MS_Lat_class_d_27
person_1009,person_1035,Undirected,MS_Lat_bib_b_4
person_1009,person_29877812,Undirected,MS_Lat_bib_b_4
person_100906238,person_47563478,Undirected,MS_Rawl_liturg_f_18
person_100906238,person_4930,Undirected,MS_Rawl_liturg_f_18
person_101089289,person_3292,Undirected,MS_Bodl_178
person_101089289,person_15121578,Undirected,MS_Bodl_178
person_101092513,person_73979081,Undirected,Christ_Church_MS_508
person_101092513,person_66754839,Undirected,Christ_Church_MS_508
person_101092513,person_83056404,Undirected,Christ_Church_MS_508
person_1015,person_51728429,Undirected,MS_Selden_Supra_22
