ID,Label,Type
person_10,"W.B., 17th cent.",sgn
person_1000,"Gosset, Rev. Isaac, vicar of Windsor, fl. 1806–21",fmo
person_10003991,"Gigoux, Jean-François, 1806-1894",fmo
person_1001,"North, William, vicar of Saltby, fl. 1680–1731",fmo
person_100162294,"Cittadini, Celso, 1553–1627",fmo
person_100166736,"Aurispa, Giovanni, approximately 1376–1459",fmo
person_100177277,"Worcester, John Tiptoft, Earl of, 1427–1470",fmo
person_100177277,"Worcester, John Tiptoft, Earl of, 1427–1470",fmo
person_100177277,"Worcester, John Tiptoft, Earl of, 1427–1470",fmo
person_100177277,"Worcester, John Tiptoft, Earl of, 1427–1470",fmo
person_100177277,"Worcester, John Tiptoft, Earl of, 1427–1470",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",dnr
person_100180276,"Ker, N. R., (Neil Ripley)",dnr
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",dnr
person_100180276,"Ker, N. R., (Neil Ripley)",dnr
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",dnr
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",dnr
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100180276,"Ker, N. R., (Neil Ripley)",fmo
person_100183464,"James, Thomas, 1572/3–1629",sgn
