Source,Target,Type,Label
work_10002,work_1714,Undirected,MS_Douce_365
work_10002,work_15369,Undirected,MS_Douce_365
work_10002,work_13324,Undirected,MS_Douce_365
work_10002,work_3109,Undirected,MS_Douce_365
work_10002,work_4119,Undirected,MS_Douce_365
work_10002,work_15368,Undirected,MS_Douce_365
work_10002,work_11673,Undirected,MS_Douce_365
work_10002,work_3675,Undirected,MS_Douce_365
work_10014,work_12636,Undirected,MS_Gr_class_e_38_P
work_10014,work_11583,Undirected,MS_Gr_class_f_21_P
work_10029,work_15123,Undirected,MS_Eng_hist_e_29
work_10029,work_10034,Undirected,MS_Eng_hist_e_29
work_10029,work_10055,Undirected,MS_Eng_hist_e_29
work_10039,work_10030,Undirected,MS_Eng_hist_b_211
work_1004,work_14999,Undirected,MS_Rawl_A_429
work_1004,work_15246,Undirected,MS_Rawl_A_429
work_1004,work_15091,Undirected,MS_Rawl_A_429
work_1004,work_12151,Undirected,MS_Rawl_A_429
work_1004,work_13862,Undirected,MS_Rawl_A_429
work_1004,work_15160,Undirected,MS_e_Mus_161
work_1004,work_13181,Undirected,MS_Rawl_A_429
work_1004,work_13860,Undirected,MS_Rawl_A_429
work_1004,work_2808,Undirected,MS_Rawl_A_429
work_1004,work_15308,Undirected,MS_e_Mus_161
work_10046,work_11583,Undirected,MS_Gr_class_e_59_P-part1
work_10068,work_11421,Undirected,MS_Gr_class_d_60_P
work_1007,work_3363,Undirected,St_Johns_College_MS_73
work_1007,work_14563,Undirected,MS_Douce_330
work_1007,work_1211,Undirected,Trinity_College_MS_34
work_1007,work_2649,Undirected,MS_Douce_330
work_1009,work_12044,Undirected,MS_Canon_Misc_313
work_1009,work_1010,Undirected,MS_Canon_Misc_313
work_10096,work_10852,Undirected,MS_Auct_D_1_11
work_10096,work_10852,Undirected,MS_Auct_D_1_12
work_10096,work_10227,Undirected,MS_Auct_D_1_11
work_10096,work_310,Undirected,MS_Digby_151
work_10096,work_10230,Undirected,MS_Auct_D_1_12
work_10096,work_12039,Undirected,MS_Digby_151
work_10096,work_15232,Undirected,MS_Digby_151
work_10096,work_2089,Undirected,MS_Digby_151
work_10098,work_14703,Undirected,MS_E_D_Clarke_9
work_10098,work_10851,Undirected,MS_E_D_Clarke_9
work_10099,work_10227,Undirected,MS_Laud_Misc_87-part2
work_10103,work_15240,Undirected,MS_Digby_66
work_10103,work_1983,Undirected,MS_Digby_66
work_10103,work_6551,Undirected,MS_Hamilton_54-part17
work_10103,work_6552,Undirected,MS_Hamilton_54-part17
work_1012,work_4002,Undirected,MS_Holkham_misc_26
work_1012,work_1926,Undirected,MS_Holkham_misc_26
work_10124,work_933,Undirected,MS_Auct_T_6_1
work_10124,work_2678,Undirected,MS_Auct_T_6_1
work_10128,work_12208,Undirected,MS_Rawl_C_212
work_10143,work_4112,Undirected,MS_Bodl_177-part4
work_10143,work_10409,Undirected,MS_Rawl_C_486
work_10143,work_15133,Undirected,MS_Rawl_C_486
work_10143,work_15018,Undirected,MS_Bodl_177-part4
work_10143,work_6060,Undirected,MS_Bodl_177-part4
work_10143,work_3626,Undirected,MS_Bodl_177-part4
work_10143,work_10396,Undirected,MS_Bodl_177-part4
work_10143,work_13951,Undirected,MS_Bodl_177-part4
work_10143,work_343,Undirected,MS_Digby_119-part1
work_10143,work_14950,Undirected,MS_Bodl_177-part4
work_10143,work_10154,Undirected,MS_Digby_119-part1
work_10144,work_2531,Undirected,MS_Fairfax_22
work_10152,work_11988,Undirected,MS_Ashmole_1448-part1
work_10153,work_10142,Undirected,MS_Digby_164-part2
work_10153,work_10142,Undirected,MS_Digby_164-part1
work_10153,work_1079,Undirected,MS_Digby_164-part2
work_10153,work_3865,Undirected,MS_Digby_164-part2
work_10154,work_13221,Undirected,MSS_Ashmole_1457-8
work_10154,work_14235,Undirected,MSS_Ashmole_1457-8
work_10154,work_10149,Undirected,MSS_Ashmole_1457-8
work_10154,work_177,Undirected,MS_Digby_162
work_10154,work_12806,Undirected,MS_Digby_162
work_10154,work_13131,Undirected,MS_Digby_162
work_10154,work_13232,Undirected,MS_Digby_162
work_10154,work_13232,Undirected,MSS_Ashmole_1457-8
work_10154,work_14685,Undirected,MS_Digby_71-part4
work_10154,work_1063,Undirected,MS_Canon_Misc_312
work_10154,work_10154,Undirected,MS_Ashmole_1441
work_10154,work_6764,Undirected,MS_Ashmole_1450-part5
work_10154,work_4975,Undirected,MS_Digby_119-part2
work_10154,work_13206,Undirected,MS_Ashmole_1451-part1
work_10154,work_6714,Undirected,MS_Ashmole_1441
work_10154,work_6713,Undirected,MS_Ashmole_1441
work_10154,work_10154,Undirected,MS_Ashmole_1450-part5
work_10154,work_10149,Undirected,MS_Ashmole_1441
work_10154,work_4101,Undirected,MS_Ashmole_1441
work_10154,work_4101,Undirected,MS_Ashmole_1441
work_10154,work_10154,Undirected,MS_Ashmole_1441
work_10154,work_10154,Undirected,MS_Ashmole_1441
work_10154,work_6715,Undirected,MS_Ashmole_1441
work_10154,work_10154,Undirected,MS_Ashmole_1441
work_10154,work_10149,Undirected,MS_Ashmole_1441
work_10154,work_13947,Undirected,MS_Canon_Misc_316
work_10157,work_13205,Undirected,MS_Ashmole_1486-part1
work_10158,work_10140,Undirected,MS_Ashmole_1423-part6
work_1016,work_1018,Undirected,MS_Digby_104-part9
work_1016,work_1017,Undirected,MS_Digby_104-part9
work_10160,work_12154,Undirected,MS_e_Mus_63-part2
work_10162,work_14236,Undirected,MS_Canon_Ital_185
work_10162,work_15463,Undirected,MS_Canon_Ital_185
work_10166,work_15604,Undirected,MS_Canon_Misc_348
work_10168,work_16064,Undirected,MS_Rawl_A_417
work_10183,work_11846,Undirected,MS_Bywater_17
work_10183,work_11846,Undirected,MS_Bywater_17
work_10185,work_14342,Undirected,MS_Douce_326
work_1019,work_1018,Undirected,MS_Laud_Misc_703
work_10193,work_14034,Undirected,MS_Bodl_452-part2
work_1020,work_1658,Undirected,MS_Canon_Misc_455
work_1020,work_13232,Undirected,MS_Canon_Misc_455
work_1020,work_3605,Undirected,MS_Canon_Misc_455
work_1020,work_14255,Undirected,MS_Canon_Misc_455
work_1020,work_3635,Undirected,MS_Canon_Misc_411
work_10205,work_3133,Undirected,MS_Rawl_C_184
work_10205,work_13209,Undirected,MS_Canon_Misc_344
work_10215,work_12325,Undirected,MS_Laud_Misc_284-partA
work_10223,work_13863,Undirected,MS_Fr_e_22
work_10225,work_10227,Undirected,MS_Douce_180
