ID,Label,Type
work_1,"Aristides, Aelius, 117–187: Ad Capitonem, or. 47 d [Greek]",classical_literature
work_1,"Aristides, Aelius, 117–187: Ad Capitonem, or. 47 d [Greek]",classical_literature
work_10,"Synesius, of Cyrene, Bishop of Ptolemais: Aegyptii sive de providentia [Greek]",history
work_10,"Synesius, of Cyrene, Bishop of Ptolemais: Aegyptii sive de providentia [Greek]",history
work_10,"Synesius, of Cyrene, Bishop of Ptolemais: Aegyptii sive de providentia [Greek]",history
work_100,"Aristides, Aelius, 117–187: Monodia in Smyrnam, or. 18 k [Greek]",classical_literature
work_1000,"Benvenutus, de Imola, –1387 or 1388: Commentary on Virgil, Georgics [Latin]",classical_literature
work_10002,Abbaye du Saint Esprit [Middle French],christian_literature
work_10003,Abbey of the Holy Ghost [Middle English],"christian_literature, theology"
work_10003,Abbey of the Holy Ghost [Middle English],"christian_literature, theology"
work_10003,Abbey of the Holy Ghost [Middle English],"christian_literature, theology"
work_10004,"Abbreviation of Peter Lombard, Sententiae [Latin]",theology
work_10005,"Abecedarium, or spelling-book, consisting of the alphabet, syllables, and short words [russian]",grammar
work_10006,Abstracts of contracts [Greek],documents
work_10007,Acallam na Senórach [Irish],literature
work_10008,Accidia [Latin],"theology, christian_literature"
work_10009,Account (?) [Greek],documents
work_10009,Account (?) [Greek],documents
work_1001,"Benvenutus Graphaeus, magister, 12th cent.: De morbi oculorum [Latin]",medicine
work_10010,"Account (autograph) of Erasmus's money and valuables, 9 April 1534 [Latin]",documents
work_10011,Account [demotic],documents
work_10012,"Account [Greek, Arabic and Coptic]",documents
work_10013,"Account [Greek, Latin and demotic]",documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10014,Account [Greek],documents
work_10015,Account book (?) [Greek],documents
work_10016,Account for fodder [Greek],documents
work_10017,Account in artabas [Greek],documents
work_10018,Account in prose of the events of 1532–55 [English],history
work_10019,"Account of a coronation feast, temp. Henry VIII (?) [Latin (?)]",history
work_1002,"Benvenutus, de Imola, –1387 or 1388: Augustalis libellus [Latin]",history
work_1002,"Benvenutus, de Imola, –1387 or 1388: Augustalis libellus [Latin]",history
work_1002,"Benvenutus, de Imola, –1387 or 1388: Augustalis libellus [Latin]",history
work_10020,Account of a dispute between the Friars Minor and the Friars Preacher [Latin],"documents, monasticism_and_religious_orders"
work_10021,"Michele da Figline, fl. 1489: Viaggio in Terrasanta [Italian and Latin]",geography
work_10022,Account of a trial before the prefect L. Volusius Maecinanus [Greek],documents
work_10023,Account of artabas [Greek],documents
work_10023,Account of artabas [Greek],documents
work_10024,Account of artabas of wheat [Greek],documents
work_10025,Account of aruras (?)[Greek],documents
work_10026,Account of bath-tax [Greek],documents
work_10027,"Account of ceremonies of the Order of the Garter, 1564–7 [English]",history
work_10028,Account of corn and wine [Greek],documents
work_10029,Account of the coronation of Richard II [Middle English],history
work_1003,"Benvenutus, de Imola, –1387 or 1388: Commentary on Dante, Divine Comedy [Latin]",christian_literature
work_10030,"Account of the coronation of Richard III, 1483 [English]",history
work_10031,"Account of the creation of two Knights of the Garter, 1543 [Middle English]",history
work_10032,"Account of the declaration of war made by Francis I of France and Henry VIII of England against the Emperor Charles V at Bourges, 22nd - 27th Jan. 1527/8 [Middle French]",history
work_10033,Account of drachmas [Greek],documents
work_10034,Account of Edward III's expeditions to Scotland in 1335 and 1350 [Middle English],history
work_10035,Account of events in Lombardy from 572 - c. 575 [Latin],history
work_10036,Account of expenditure on foodstuffs (?) [Greek],documents
work_10037,"Account of the foundation of the abbey of St. Mary, Dore [Latin]",history
work_10038,Account of founders of English monastic houses before the Conquest [Latin],"history, monasticism_and_religious_orders"
work_10039,"Account of the funeral of Elizabeth of York, 1503 [English]",history
work_1004,"Frédol, Bérenger, –1323: Summula in foro poenitentiali [Latin]",theology
work_1004,"Frédol, Bérenger, –1323: Summula in foro poenitentiali [Latin]",theology
work_1004,"Frédol, Bérenger, –1323: Summula in foro poenitentiali [Latin]",theology
work_1004,"Frédol, Bérenger, –1323: Summula in foro poenitentiali [Latin]",theology
work_1004,"Frédol, Bérenger, –1323: Summula in foro poenitentiali [Latin]",theology
work_1004,"Frédol, Bérenger, –1323: Summula in foro poenitentiali [Latin]",theology
work_10040,Account of the induction of John Radcliff into the Order of the Garter [English],history
work_10041,Account of the martyrdon of two Franciscans in Palestine in 1321 [Latin],"history, monasticism_and_religious_orders"
work_10042,"Account of military expenses of Henry VIII's and Edward VI's wars, 1538–1552 [English]",documents
work_10044,Account of money [Greek],documents
work_10045,"Account of payment to the vicar of St. George's College, Windsor [Latin]",documents
work_10046,Account of payments [Greek],documents
work_10046,Account of payments [Greek],documents
work_10046,Account of payments [Greek],documents
work_10046,Account of payments [Greek],documents
work_10047,Account of payments and expenditure [Greek],documents
work_10048,Account of payments for a tax [Greek],documents
work_10049,Account of payments for tribute (phorologia) [Greek],documents
work_1005,"Berengarius, Turonensis, 1010–1088: Recantation [Latin]",theology
work_10050,Account of payments made in connection with buildings [Greek],documents
work_10051,Account of Queen Elizabeth I's demisable revenue [English],documents
work_10052,"Account of relics, etc., in the churches of Rome [Latin]",geography
work_10053,Account of the resignation of Richard II [Latin],history
work_10054,Account of revenues [Greek],documents
work_10055,"Account of the rights and duties of the Constable and Marshall of England, 1377–86 [Middle English]",history
work_10056,"Account of Robert Gringore, receiver of Thury, 1458–9 [Middle French]",documents
work_10057,"Account of Sir John Williams, treasurer of the jewels of Henry VIII [English]",documents
work_10058,Account of wine for a birthday [Greek],documents
work_10059,Account of work on embankments [Greek],documents
work_1006,"Frédol, Bérenger, –1323: Oculus copiose [Latin]",law
work_10060,Account or register [Greek],documents
work_10061,Account-book [Greek],documents
work_10062,Accounts (?) [Greek],documents
work_10063,Accounts (?) [Latin],documents
work_10064,Accounts (?) [Middle Dutch],documents
work_10065,Accounts [Arabic],documents
work_10066,Accounts [English],documents
work_10067,Accounts [German],documents
work_10068,Accounts [Greek],documents
work_10068,Accounts [Greek],documents
work_10068,Accounts [Greek],documents
work_10068,Accounts [Greek],documents
work_10068,Accounts [Greek],documents
work_10068,Accounts [Greek],documents
work_10068,Accounts [Greek],documents
work_10068,Accounts [Greek],documents
work_10068,Accounts [Greek],documents
work_10068,Accounts [Greek],documents
work_10068,Accounts [Greek],documents
work_10069,Accounts for joiner's work [Latin],documents
work_1007,"Berengaudus, Ferrariensis, ca. 859: Commentary on Apocalypse [Latin]",bible
work_1007,"Berengaudus, Ferrariensis, ca. 859: Commentary on Apocalypse [Latin]",bible
work_1007,"Berengaudus, Ferrariensis, ca. 859: Commentary on Apocalypse [Latin]",bible
work_1007,"Berengaudus, Ferrariensis, ca. 859: Commentary on Apocalypse [Latin]",bible
work_1007,"Berengaudus, Ferrariensis, ca. 859: Commentary on Apocalypse [Latin]",bible
work_1007,"Berengaudus, Ferrariensis, ca. 859: Commentary on Apocalypse [Latin]",bible
work_1007,"Berengaudus, Ferrariensis, ca. 859: Commentary on Apocalypse [Latin]",bible
work_1007,"Berengaudus, Ferrariensis, ca. 859: Commentary on Apocalypse [Latin]",bible
work_10070,Accounts of the Church of St. Aignan at Orleans [Middle French],documents
work_10071,Accounts of the Controller of Queen Elizabeth's household [Latin],documents
work_10072,Accounts of parts of the earldom of the Marches [Latin],documents
work_10073,Accounts of payments made by lessees of farms [Greek],documents
work_10074,Accounts of payments of grain [Greek],documents
work_10075,"Accounts of Prior Robert Wymondham of Hickling Priory, Norfolk, acting as cellarer, 1509–1522, with some later Hickling materials [Latin and English]",documents
work_10076,"Accounts of the receipts and expenditure of the Bede-House or hospital of William Brown at Stamford, Lincolnshire [Latin and English]","monasticism_and_religious_orders, documents"
work_10077,Accounts relating to the king's works [Latin],documents
work_10078,Acknowledgement of a debt of 22 loads of oakum [Greek],documents
work_10079,Acknowledgement of debt by Flavius Psensoerius to Johannes [Greek],documents
work_10079,Acknowledgement of debt by Flavius Psensoerius to Johannes [Greek],documents
work_1008,"Bernard, of Clairvaux, Saint, 1090 or 1091–1153: Epistola ad Leontinum [Latin]",theology
work_10080,Acknowledgement of debt by Theogenes to an oikonomos of the Arsinoites and a topogrammateus [Greek],documents
work_10081,Acknowledgement of payment for skins [Greek],documents
work_10082,Acknowledgement of payment in advance for wheat through the chief bank in Oxyrhynchus [Greek],documents
work_10083,Acknowledgement of the receipt of a corpse [Greek],documents
work_10084,"Acolouthia, canons and stichera [Greek]",liturgy
work_10085,"Act for the Attainder of Henry VI, 1461 [Middle English]","documents, law"
work_10086,"Act of Parliament, 1446 [Latin (?)]","documents, law"
work_10087,Acta Alexandrinorum (Acta Isidori) [Greek],"documents, law, hagiography"
work_10088,Acta diurna of an unknown corps stationed near Philadelphia [Latin],documents
work_10089,Acta Maximi [Greek],"documents, law, hagiography"
work_1009,"Bernardus, Abbot of Monte Cassino, –1282: Commentary on Regula S. Benedicti [Latin]","monasticism_and_religious_orders, theology"
work_10090,"Acta of the General Chapter of Augustinian Canons Regular held at Osney, Oxfordshire, 1443 [Latin]","law, monasticism_and_religious_orders"
work_10092,"Bible, New Testament, Acts, Catholic Epistles and Apocalypse with gloss [Latin]",bible
work_10093,"Bible, New Testament, Acts, Catholic Epistles, Pauline Epistles [Greek]",bible
work_10093,"Bible, New Testament, Acts, Catholic Epistles, Pauline Epistles [Greek]",bible
work_10093,"Bible, New Testament, Acts, Catholic Epistles, Pauline Epistles [Greek]",bible
work_10094,"Bible, Acts, Catholic Epistles, Revelation, Pauline Epistles [Greek]",bible
work_10096,"Bible, New Testament, Acts, with gloss [Latin]",bible
work_10096,"Bible, New Testament, Acts, with gloss [Latin]",bible
work_10096,"Bible, New Testament, Acts, with gloss [Latin]",bible
